Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;6;3;0;0;0;0;0;0;0;0;6;3;0;0;0;98,106061172;0;25800;0;52500;3000;20001
1_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;6;3;0;0;0;0;0;0;0;0;6;3;0;0;0;98,106061162;0;24300;0;52500;3000;20001
2_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;0;0;0;0;0;0;0;5;3;0;0;0;98,295455152;0;20520;0;52500;3000;13334
3_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;7;3;0;0;0;0;0;0;0;0;7;3;0;0;0;97,916667142;0;23430;0;52500;3000;20001
4_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;5;4;1;0;0;0;0;0;0;0;5;4;1;0;0;97,613636132;0;24948;0;52500;22500;26668
5_0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;7;2;0;0;1;0;0;0;0;0;7;2;0;0;1;79,330808122;0;199714;0;0;336500;33335
6_0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;15;4;0;0;1;0;0;0;0;0;15;4;0;0;1;88,655303112;0;201264;0;52500;338500;33335
7_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;17;8;0;0;0;0;0;0;0;0;17;8;0;0;0;97,380051122;0;50630;0;52500;8000;20001
8_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;15;8;1;0;0;0;0;0;0;0;15;8;1;0;0;97,354798132;0;55308;0;52500;26500;26668
9_0;1;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;11;4;1;0;0;0;0;0;0;0;11;4;1;0;0;97,102273142;25560;39618;0;52500;22500;33335
10_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;16;8;1;0;0;0;0;0;0;0;16;8;1;0;0;97,260101152;0;65968;0;52500;26500;26668
11_0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;14;4;1;0;1;0;0;0;0;0;14;4;1;0;1;88,535354162;0;294192;0;52500;357000;33335
12_0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;19;6;0;0;1;0;0;0;0;0;19;6;0;0;1;92,015993172;0;326284;0;52500;340500;33335
13_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;19;8;0;0;0;0;0;0;0;0;19;8;0;0;0;98,127104162;0;72090;0;52500;8000;26668
14_0;1;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;19;9;1;0;0;0;0;0;0;0;19;9;1;0;0;97,647306152;9120;75848;0;52500;27500;26668
15_0;2;0;0;6;7;0;0;0;0;0;0;0;0;0;0;0;21;8;1;0;0;0;0;0;0;0;21;8;1;0;0;96,090067142;59640;72278;0;105000;26500;40002
16_0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;19;8;0;0;0;0;0;0;0;0;19;8;0;0;0;98,127104132;0;58740;0;52500;8000;33335
17_0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;23;6;1;0;0;0;0;0;0;0;23;6;1;0;0;97,899832122;0;60878;0;52500;24500;33335
18_0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;32;8;1;0;0;0;0;0;0;0;32;8;1;0;0;97,872475112;0;75488;0;52500;26500;33335
